name;figi;ticker;rs
Интер РАО ЕЭС;BBG004S68473;IRAO;3
Aluminum Corp of China;BBG000CN0Y73;2600;1
Наука-Связь;BBG002BCQK67;NSVZ;3
НЛМК;BBG004S681B4;NLMK;7
Novabev Group;BBG000TY1CD1;BELU;1
Группа Черкизово;BBG000RTHVK7;GCHE;1
Лензолото - привилегированные акции;BBG000SR0YS4;LNZLP;2
TCS Group;BBG00QPYJ5H0;TCSG;7
Сургутнефтегаз - привилегированные акции;BBG004S681M2;SNGSP;3
Sands China;BBG000PSNMN1;1928;5
ДВМП;BBG000QF1Q17;FESH;6
Распадская;BBG004S68696;RASP;5
НОВАТЭК;BBG00475KKY8;NVTK;4
Нижнекамскнефтехим;BBG000GQSRR5;NKNC;4
ИНАРКТИКА;BBG000W325F7;AQUA;5
ТНС энерго Воронеж;BBG000BX7DH0;VRSB;9
Kuaishou Technology;BBG00YYT9BD6;1024;2
Ленэнерго - акции привилегированные;BBG000NLCCM3;LSNGP;4
Московская Биржа;BBG004730JJ5;MOEX;3
МРСК Сибири;BBG000VJMH65;MRKS;7
Русолово;BBG004Z2RGW8;ROLO;2
Мосэнерго;BBG004S687W8;MSNG;7
Li Auto;BBG0120WC125;2015;7
Ozon Holdings PLC;BBG00Y91R9T3;OZON;6
Alibaba Health Information Technology;BBG000BDZJK6;241;3
XPeng;BBG011LRHTM7;9868;1
Globaltrans Investment PLC;BBG000VFX6Y4;GLTR;7
КуйбышевАзот - Акции привилегированные;BBG002B9T6Y1;KAZTP;7
НМТП;BBG004S68BR5;NMTP;7
ТГК-1;BBG000QFH687;TGKA;2
Ашинский метзавод;BBG000RJWGC4;AMEZ;3
ТГК-2 - акции привилегированные;BBG000Q7GJ60;TGKBP;2
АбрауДюрсо;BBG002W2FT69;ABRD;8
Центральный Телеграф - акции привилегированные;BBG0027F0Y27;CNTLP;8
ПИК;BBG004S68BH6;PIKK;6
Мечел - Привилегированные акции;BBG004S68FR6;MTLRP;4
Трубная Металлургическая Компания;BBG004TC84Z8;TRMK;2
МРСК Урала;BBG000VKG4R5;MRKU;5
МРСК Юга;BBG000C7P5M7;MRKY;5
Country Garden Holdings;BBG000QQCY41;2007;1
Северсталь;BBG00475K6C3;CHMF;2
