open;close
86.0168000;86.5250000
86.5230000;86.6150000
86.6590000;86.9574000
86.9632000;86.7100000
86.7000000;86.7196000
86.7158000;87.0450000
87.0155000;88.0090000
88.0500000;88.0500000
88.0910000;88.3830000
88.5140000;88.3010000
88.0960000;88.1880000
88.1740000;88.1349000
88.2530000;87.4370000
87.4489000;87.6485000
87.6776000;87.7774000
87.7764000;87.3790000
87.6330000;87.4130000
87.4420000;87.9261000
87.9261000;87.5043000
87.4828000;87.1550000
87.0691000;86.6527000
86.6527000;86.9010000
86.9060000;86.6430000
86.7540000;86.8927000
87.0070000;87.0694000
87.0749000;87.0060000
87.0090000;86.9022000
86.9060000;86.7450000
86.8040000;86.7480000
86.7560000;86.5815000
86.5731000;86.4950000
86.4902000;86.5822000
86.5785000;86.4846000
86.4827000;86.4520000
86.2310000;86.3035000
86.3011000;86.3775000
86.3775000;86.5200000
86.5401000;86.0957000
86.2180000;86.2248000
86.2249000;86.3210000
86.4910000;86.2696000
86.2696000;86.3230000
86.2120000;86.1084000
86.0857000;86.3612000
86.3617000;86.6609000
86.6646000;86.8960000
86.8770000;86.6995000
86.7020000;86.9435000
86.9037000;86.5651000
86.6020000;86.9270000
86.8520000;87.2113000
87.2458000;86.6160000
86.6380000;86.6300000
86.6560000;86.4893000
86.4893000;86.4555000
86.5600000;86.3708000
86.4470000;86.3830000
86.7430000;86.5040000
86.5050000;86.4627000
86.4631000;86.6009000
86.6009000;86.8842000
86.8834000;86.4460000
86.3870000;86.1360000
86.1630000;86.3430000
86.4260000;86.3590000
86.2800000;85.6920000
85.7740000;85.9625000
85.9331000;85.2744000
85.3504000;85.1693000
85.2820000;85.4530000
85.4720000;85.4370000
85.5200000;85.8840000
86.5842000;85.5200000
85.5870000;85.3080000
85.3010000;85.2348000
85.2511000;85.5510000
85.1700000;85.0970000
85.0783000;84.7787000
84.8100000;85.0126000
85.0126000;84.3921000
84.3918000;84.0512000
84.1920000;84.3240000
84.3440000;84.3094000
84.4560000;84.1228000
84.0704000;83.7761000
83.7761000;83.6016000
83.5921000;82.9326000
82.9383000;83.1100000
83.1080000;82.9788000
82.9788000;82.9837000
82.9837000;82.7981000
82.7987000;83.4944000
83.4931000;82.7010000
82.7010000;82.4860000
82.3400000;82.2733000
82.2738000;82.6848000
82.6231000;82.3612000
82.3778000;82.4588000
82.4595000;82.6032000
82.5803000;81.7140000
81.6930000;81.6880000
81.8121000;80.8870000
